Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Jake Clarke-Salter,"Sep 22, 1997 (23)",Defender - Centre-Back,€2.00m,"Jun 30, 2022","Jul 1, 2018",11,0,0,4,0
Callum Hudson-Odoi,"Nov 7, 2000 (20)",Attack - Left Winger,€32.00m,"Jun 30, 2026","Sep 1, 2023",35,8,2,17,0
N'Golo Kanté,"Mar 29, 1991 (30)",Midfield - Defensive Midfield,€55.00m,"Jun 30, 2023","Jul 16, 2016",42,2,5,3,0
Mason Mount,"Jan 10, 1999 (22)",Midfield - Attacking Midfield,€75.00m,"Jun 30, 2028","Jul 5, 2023",20,1,1,8,0
Ben Chilwell,"Dec 21, 1996 (24)",Defender - Left-Back,€45.00m,"Jun 30, 2027","Aug 26, 2020",31,2,3,12,0
Tammy Abraham,"Oct 2, 1997 (23)",Attack - Centre-Forward,€38.00m,"Jun 30, 2025","Aug 17, 2021",12,1,0,6,0
Thiago Silva,"Sep 22, 1984 (36)",Defender - Centre-Back,€3.00m,"Jun 30, 2024","Aug 28, 2020",35,0,2,12,0
Christian Pulisic,"Sep 18, 1998 (22)",Attack - Right Winger,€50.00m,"Jun 30, 2024","Jan 2, 2019",38,8,5,3,0
Kurt Zouma,"Oct 27, 1994 (26)",Defender - Centre-Back,€32.00m,"Jun 30, 2025","Aug 28, 2021",32,2,0,14,0
César Azpilicueta,"Aug 28, 1989 (31)",Defender - Centre-Back,€13.00m,"Jun 30, 2025","Jul 6, 2023",34,0,2,4,0
Tammy Abraham,"Oct 2, 1997 (23)",Attack - Centre-Forward,€38.00m,"Jun 30, 2025","Aug 17, 2021",53,27,5,6,0
Charly Musonda Jr.,"Oct 15, 1996 (24)",Attack - Left Winger,€1.00m,"Sep 1, 2023","Aug 16, 2022",19,0,0,20,0
Billy Gilmour,"Jun 11, 2001 (20)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2026","Sep 1, 2022",17,0,2,6,0
Christian Pulisic,"Sep 18, 1998 (22)",Attack - Right Winger,€50.00m,"Jun 30, 2027","Jul 13, 2023",50,15,11,2,0
