Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Gareth Bale,"Jul 16, 1989 (31)",Attack - Right Winger,€18.00m,"Jan 9, 2023","Jul 7, 2022",0.0,0.0,0.0,20.0,'0'
Joe Rodon,"Oct 22, 1997 (23)",Defender - Centre-Back,€10.00m,"Jun 30, 2025","Oct 16, 2020",19.0,0.0,0.0,7.0,'0'
Giovani Lo Celso,"Apr 9, 1996 (25)",Midfield - Central Midfield,€27.00m,"Jun 30, 2025","Jul 1, 2020",41.0,2.0,3.0,4.0,'0'
Japhet Tanganga,"Mar 31, 1999 (22)",Defender - Centre-Back,€8.00m,"Jun 30, 2024","Jan 1, 2020",19.0,0.0,0.0,4.0,'0'
Pierre-Emile Højbjerg,"Aug 5, 1995 (25)",Midfield - Defensive Midfield,€35.00m,"Jun 30, 2025","Aug 11, 2020",48.0,3.0,4.0,4.0,'0'
Harry Kane,"Jul 28, 1993 (27)",Attack - Centre-Forward,€120.00m,"Jun 30, 2024","Jul 1, 2010",50.0,27.0,10.0,4.0,'0'
Erik Lamela,"Mar 4, 1992 (29)",Attack - Right Winger,€16.00m,"Jun 30, 2024","Jul 26, 2021",24.0,5.0,3.0,4.0,'0'
Heung-min Son,"Jul 8, 1992 (28)",Attack - Left Winger,€85.00m,"Jun 30, 2026","Aug 28, 2015",51.0,22.0,17.0,7.0,'0'
Heung-min Son,"Jul 8, 1992 (28)",Attack - Left Winger,€85.00m,"Jun 30, 2026","Aug 28, 2015",45.0,24.0,8.0,4.0,'0'
Danny Rose,"Jul 2, 1990 (30)",Defender - Left-Back,€3.00m,"Sep 1, 2022","Jul 1, 2021",9.0,0.0,0.0,19.0,'0'
Cameron Carter-Vickers,"Dec 31, 1997 (23)",Defender - Centre-Back,€2.00m,"Jun 30, 2023","Jul 1, 2016",26.0,1.0,1.0,7.0,'0'
Eric Dier,"Jan 15, 1994 (27)",Defender - Centre-Back,€22.00m,"Jun 30, 2024","Jul 31, 2014",42.0,2.0,1.0,8.0,'0'
Moussa Sissoko,"Aug 16, 1989 (31)",Midfield - Central Midfield,€10.00m,"Jun 30, 2024","Aug 27, 2021",44.0,2.0,0.0,20.0,'0'
Lucas Moura,"Aug 13, 1992 (28)",Attack - Right Winger,€25.00m,"Aug 2, 2023","Jan 31, 2018",50.0,9.0,8.0,7.0,'0'
Alfie Whiteman,"Oct 2, 1998 (22)",Goalkeeper,€1.00m,"Jun 30, 2025","Jul 1, 2019",0.0,0.0,0.0,5.0,'0'
